Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	collagen-containing extracellular matrix (GO:0062023)	34/380	3.124060e-17	6.373082e-15	0	0	7.317030e+00	2.780824e+02	ITIH5;FLG;ITIH4;LAMA5;COL15A1;SERPINA1;TNXB;LAMA2;LAMC3;LAMA4;LAMA3;TNC;LTBP4;F13A1;LAMC1;NID1;NID2;ICAM1;MUC2;HMCN2;HMCN1;A2M;TPSAB1;TINAG;CTSB;POSTN;DST;VWF;LAMB1;HSPG2;FRAS1;COL6A2;COL6A3;HRG
GO_Cellular_Component_2021	cytoskeleton (GO:0005856)	40/600	1.162861e-15	1.186118e-13	0	0	5.384139e+00	1.851492e+02	MACF1;LAD1;SYNM;AHNAK;EPB41;SYNPO2;IQGAP2;PPL;EVPL;SYNE2;MYLK;SPTA1;AKAP13;TNKS1BP1;FLNA;FLNB;MAP4;LRRFIP1;PDLIM5;GBP1;MDN1;OVGP1;SVIL;GSN;CR1;DST;MYO7B;MYO9B;NEB;SPTB;VIL1;SMTN;CLIP1;KRT16;AKAP9;EPPK1;HNRNPC;KANK4;KANK3;PLEC
GO_Cellular_Component_2021	actin cytoskeleton (GO:0015629)	27/316	2.054685e-13	1.397186e-11	0	0	6.794176e+00	1.984815e+02	MACF1;LAD1;AHNAK;SYNPO2;IQGAP2;MYLK;SPTA1;AKAP13;CAPN2;TNKS1BP1;FLNA;FLNB;PDLIM5;GBP1;SVIL;GSN;ACTN3;MYO7B;COBL;MYO9B;NEB;SPTB;VIL1;SMTN;MLPH;HCLS1;HNRNPC
GO_Cellular_Component_2021	basement membrane (GO:0005604)	13/52	4.365823e-13	2.226570e-11	0	0	2.332977e+01	6.639607e+02	LAMA5;DST;LAMA2;LAMC3;LAMA4;LAMA3;LAMB1;LAMC1;NID1;HSPG2;NID2;FRAS1;TINAG
GO_Cellular_Component_2021	intermediate filament (GO:0005882)	12/50	6.002439e-12	2.196817e-10	0	0	2.202464e+01	5.690914e+02	FLG;FAM83H;MACF1;SYNM;CLIP1;DST;KRT16;EPPK1;EVPL;PPL;HLA-DRB1;PLEC
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	28/394	6.461228e-12	2.196817e-10	0	0	5.562266e+00	1.433129e+02	AHNAK;PRAG1;SYNPO2;TNC;SLC4A2;SYNE2;ICAM1;AKAP12;IL1RL1;NRAP;CAPN2;FLNA;DMD;FLNB;TNS3;CD99;TNS1;SVIL;GSN;ACTN3;DST;LMO7;SORBS1;HSPG2;SORBS3;ITGA8;EPPK1;PLEC
GO_Cellular_Component_2021	MHC protein complex (GO:0042611)	8/20	2.142595e-10	6.244134e-09	0	0	4.590676e+01	1.022060e+03	HLA-DRB5;HLA-B;HLA-DPB1;HLA-C;HLA-A;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Cellular_Component_2021	intermediate filament cytoskeleton (GO:0045111)	13/84	2.827561e-10	7.210280e-09	0	0	1.279410e+01	2.812966e+02	FLG;MACF1;SYNM;DST;EVPL;PPL;SYNE2;CLIP1;KRT16;EPPK1;MDN1;HLA-DRB1;PLEC
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	25/387	6.802772e-10	1.541962e-08	0	0	4.966214e+00	1.048294e+02	AHNAK;PRAG1;SYNPO2;TNC;SLC4A2;SYNE2;ICAM1;AKAP12;IL1RL1;CAPN2;FLNA;FLNB;TNS3;CD99;TNS1;SVIL;GSN;ACTN3;DST;LMO7;SORBS1;HSPG2;SORBS3;ITGA8;PLEC
GO_Cellular_Component_2021	intracellular organelle lumen (GO:0070013)	38/848	9.738657e-10	1.986686e-08	0	0	3.462809e+00	7.185241e+01	DMGDH;ASAH1;COL15A1;SERPINA1;PRKCSH;GSTP1;MTTP;TNC;MIA3;LAMC1;SYNE2;MUC2;PDPR;PITRM1;MUC12;MMUT;APOB;CHGB;CTSB;TRAP1;GSN;GPX1;MUC16;AGXT2;TXNRD2;ERAP1;LAMB1;HSPG2;CP;MUC5AC;ALDH4A1;FLG2;CPS1;COL6A2;DNAJC10;SPARCL1;COL6A3;CES1
