protein_accessions	count	number_accessions_group
['GCA_128210']	16	1
['GCA_283510']	13	1
['GCA_285676']	12	1
['GCA_254133']	12	1
['GCA_290872', 'GCA_290871']	10	2
['GCA_221588', 'GCA_181455']	8	2
['GCA_250965']	8	1
['GCA_149604']	8	1
['GCA_258979']	8	1
['GCA_181467']	8	1
['GCA_137200']	8	1
['GCA_269928', 'GCA_253092', 'GCA_236455', 'GCA_154401']	7	4
['GCA_119581']	7	1
['GCA_158013', 'GCA_158012']	7	2
['GCA_177309']	7	1
['GCA_114702']	7	1
['GCA_7216', 'GCA_243158']	7	2
['GCA_86502']	7	1
['GCA_277899', 'GCA_174622']	7	2
['GCA_250979']	6	1
['GCA_62130']	6	1
['GCA_110629']	6	1
['GCA_223053', 'GCA_223052']	6	2
['GCA_237188']	6	1
['GCA_239972']	6	1
['GCA_161745']	6	1
['GCA_103559']	6	1
['GCA_48592']	5	1
['GCA_234501']	5	1
['GCA_234507']	5	1
['GCA_71086']	5	1
['GCA_112077']	5	1
['GCA_61687']	5	1
['GCA_167249']	5	1
['GCA_139759']	5	1
['GCA_273956']	5	1
['GCA_160390']	5	1
['GCA_200087']	5	1
['GCA_269923']	5	1
['GCA_163831']	5	1
['GCA_92803']	5	1
['GCA_153230']	5	1
['GCA_302069']	5	1
['GCA_146862']	5	1
['GCA_178637']	5	1
['GCA_152834']	5	1
['GCA_131606']	5	1
['GCA_174667']	5	1
['GCA_188311']	5	1
['GCA_94464']	5	1
['GCA_37417', 'GCA_250497']	5	2
['GCA_299470']	5	1
['GCA_83236']	5	1
['GCA_313717']	5	1
['GCA_94630', 'GCA_47569', 'GCA_315806', 'GCA_262051', 'GCA_121144']	5	5
['GCA_178851']	5	1
['GCA_155817']	5	1
['GCA_180153', 'GCA_14938', 'GCA_14937']	5	3
['GCA_306312']	5	1
['GCA_104002']	4	1
['GCA_147760']	4	1
['GCA_228546']	4	1
['GCA_133899']	4	1
['GCA_202113']	4	1
['GCA_134133']	4	1
['GCA_128672']	4	1
['GCA_85707']	4	1
['GCA_51237']	4	1
['GCA_20176']	4	1
['GCA_139871']	4	1
['GCA_13774']	4	1
['GCA_191305']	4	1
['GCA_131194']	4	1
['GCA_306618']	4	1
['GCA_39402']	4	1
['GCA_137941']	4	1
['GCA_227150']	4	1
['GCA_130729']	4	1
['GCA_297717']	4	1
['GCA_293760']	4	1
['GCA_288735']	4	1
['GCA_245254']	4	1
['GCA_19780']	4	1
['GCA_139441']	4	1
['GCA_176814']	4	1
['GCA_26371']	4	1
['GCA_155815']	4	1
['GCA_33884', 'GCA_277124']	4	2
['GCA_302177']	4	1
['GCA_40574']	4	1
['GCA_90264']	4	1
['GCA_119730']	4	1
['GCA_236920']	4	1
['GCA_171712']	4	1
['GCA_293839']	4	1
['GCA_27263']	4	1
['GCA_202595']	4	1
['GCA_277101']	4	1
['GCA_210590', 'GCA_210586']	4	2
['GCA_58860']	4	1
['GCA_121408']	4	1
['GCA_113156']	4	1
['GCA_284208', 'GCA_284206']	4	2
['GCA_304806', 'GCA_304805', 'GCA_228849', 'GCA_228848']	4	4
['GCA_139221']	4	1
['GCA_138890']	4	1
['GCA_304361']	4	1
['GCA_125985', 'GCA_125984']	4	2
['GCA_118374']	4	1
['GCA_207409']	4	1
['GCA_191282', 'GCA_131603']	4	2
['GCA_304989']	4	1
['GCA_205415']	4	1
['GCA_101626']	4	1
['GCA_14739']	4	1
['GCA_198967']	4	1
['GCA_138877']	4	1
['GCA_230730']	4	1
['GCA_165674', 'GCA_165673']	4	2
['GCA_241551', 'GCA_137036']	4	2
['GCA_15225']	4	1
['GCA_216815']	4	1
['GCA_49368']	3	1
['GCA_11477']	3	1
['GCA_201402']	3	1
['GCA_263327']	3	1
['GCA_293797']	3	1
['GCA_134428']	3	1
['GCA_148323']	3	1
['GCA_257375']	3	1
['GCA_24620']	3	1
['GCA_238366']	3	1
['GCA_229616']	3	1
['GCA_19307']	3	1
['GCA_89377', 'GCA_245166', 'GCA_189120', 'GCA_158735', 'GCA_141888']	3	5
['GCA_105022']	3	1
['GCA_148437']	3	1
['GCA_141643']	3	1
['GCA_78703']	3	1
['GCA_166945']	3	1
['GCA_98344']	3	1
['GCA_94456', 'GCA_173620']	3	2
['GCA_281437', 'GCA_281434']	3	2
['GCA_22306']	3	1
['GCA_183571']	3	1
['GCA_210249']	3	1
['GCA_274030']	3	1
['GCA_199706', 'GCA_199705']	3	2
['GCA_136891']	3	1
['GCA_283770']	3	1
['GCA_15648']	3	1
['GCA_170460']	3	1
['GCA_130300']	3	1
['GCA_198457', 'GCA_10991']	3	2
['GCA_49249', 'GCA_196264', 'GCA_132718', 'GCA_120387']	3	4
['GCA_193864']	3	1
['GCA_312056']	3	1
['GCA_99672']	3	1
['GCA_266417']	3	1
['GCA_241061', 'GCA_171997', 'GCA_143413']	3	3
['GCA_149591']	3	1
['GCA_172920']	3	1
['GCA_184704']	3	1
['GCA_305698']	3	1
['GCA_189947']	3	1
['GCA_151623']	3	1
['GCA_112759']	3	1
['GCA_82883']	3	1
['GCA_200882']	3	1
['GCA_246802', 'GCA_246800']	3	2
['GCA_150561']	3	1
['GCA_265569']	3	1
['GCA_88141']	3	1
